PROJECT_NAME,MainBlgVAVInternalAct
VERSION_OF_REFERENCEFILE,1.0
TIMESTAMP_OF_LAST_CHANGE,1/7/2021 11:35:09 AM
AUTHOR_OF_LAST_CHANGE,micha
VERSION_OF_LAYOUT,2.1
#keyname,device-object-instance,object-name,object-type,object-instance,description,present-value-default,min-present-value,max-present-value,commandable,supports-COV,hi-limit,low-limit,state-text-reference,unit-code,vendor-specific-address,program-object-instance
MainBlgVAVInternalAct_MaxOatPerimHeat,1,MaxOatPerimHeat,2,49,Maximum Outside Air Temperature for Perimeter Heat,65.0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_EffectSP,1,EffectSP,2,50,Effective Space Temperature Setpoint,0.0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_OccupancyCmd,1,OccupancyCmd,19,1,Occupancy Command,,,,Y,Y,,,3,,,
MainBlgVAVInternalAct_DamperReq,1,DamperReq,2,57,Damper Request for Static Pressure Reset,0.0,,,N,Y,,,,95,,
MainBlgVAVInternalAct_ComSensorSpOffset,1,ComSensorSpOffset,2,58,Communicating Sensor Sp Offset,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_SpOffsetLimit,1,SpOffsetLimit,2,59,Setpoint Offset Limits,2.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_TerminalLoadHF,1,TerminalLoadHF,2,66,Terminal Load Heat Factor,100.0,,,N,Y,,,,98,,
MainBlgVAVInternalAct_TerminalLoadCF,1,TerminalLoadCF,2,67,Terminal Load Cool Factor,100.0,,,N,Y,,,,98,,
MainBlgVAVInternalAct_HeatModeTempErr,1,HeatModeTempErr,2,68,Heating Mode Temperature Error,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_CoolModeTempErr,1,CoolModeTempErr,2,69,Cooling Mode Temperature Error,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_DuctHeatLoad,1,DuctHeatLoad,2,73,Actual Duct Heater Total Load for graphics,0.0,,,N,Y,,,,98,,
MainBlgVAVInternalAct_PerimHeatLoad,1,PerimHeatLoad,2,74,Actual Perimeter Heat Load for graphics,0.0,,,N,Y,,,,98,,
MainBlgVAVInternalAct_ComSensorMinCoolSP,1,ComSensorMinCoolSP,2,75,Communicating Sensor Minimum Cooling Setpoint,67.5,,,N,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMaxCoolSP,1,ComSensorMaxCoolSP,2,76,Communicating Sensor Maximum Cooling Setpoint,80.0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMinHeatSP,1,ComSensorMinHeatSP,2,77,Communicating Sensor Minimum Heating Setpoint,60.0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMaxHeatSP,1,ComSensorMaxHeatSP,2,78,Communicating Sensor Maximum Heating Setpoint,75.0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_SleepTime,1,SleepTime,2,79,EC-Smart-Comfort Sleep Time,0.0,,,N,Y,,,,73,,
MainBlgVAVInternalAct_EnDelayVPACC,1,EnDelayVPACC,2,80,VPACC Enable Delay,60.0,,,N,Y,,,,72,,
MainBlgVAVInternalAct_CUSUM_K_VPACC,1,CUSUM_K_VPACC,2,81,VPACC CUSUM K Param,3.0,,,N,Y,,,,95,,
MainBlgVAVInternalAct_SpaceTempStdErr,1,SpaceTempStdErr,2,82,VPACC Space Temperature Standard Error ,0.4,,,N,Y,,,,120,,
MainBlgVAVInternalAct_SpaceTempErrAlmSp,1,SpaceTempErrAlmSp,2,83,VPACC Space Temperature Alarm Setpoint,500.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_AirFlowStdErr,1,AirFlowStdErr,2,84,VPACC Air Flow Standard Error ,10.0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_AirFlowErrAlmSp,1,AirFlowErrAlmSp,2,85,VPACC Flow Alarm Setpoint,900.0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_DischTempStdErr,1,DischTempStdErr,2,86,VPACC Discharge Temperature Standard Error ,1.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_DischTempErrAlmSp,1,DischTempErrAlmSp,2,87,VPACC Discharge Temperature Alarm Setpoint,500.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_SpaceTempPosErr,1,SpaceTempPosErr,2,88,VPACC Positive Space Temperature CUSUM,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_SpaceTempNegErr,1,SpaceTempNegErr,2,89,VPACC Negative Space Temperature CUSUM,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_AirFlowPosErr,1,AirFlowPosErr,2,90,VPACC Positive Flow CUSUM,0.0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_AirFlowNegErr,1,AirFlowNegErr,2,91,VPACC Negative Flow CUSUM,0.0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_AirFlowAbsErr,1,AirFlowAbsErr,2,92,VPACC Absolute Flow CUSUM,0.0,,,N,Y,,,,84,,
MainBlgVAVInternalAct_DischTempPosErr,1,DischTempPosErr,2,93,VPACC Positive Discharge Temperature CUSUM,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_DischTempNegErr,1,DischTempNegErr,2,94,VPACC Negative Discharge Temperature CUSUM,0.0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_Elevation,1,Elevation,2,99,,0.0,,,N,Y,,,,31,,
MainBlgVAVInternalAct_AppVersion,1,AppVersion,2,100,,0.0,,,N,Y,,,,95,,
MainBlgVAVInternalAct_DamperDir,1,DamperDir,5,11,Damper Direction (Off = CW),0,,,N,Y,,,27,,,
MainBlgVAVInternalAct_VVTMode,1,VVTMode,5,12,Box is not Using Flow Sensor,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_CommFailure,1,CommFailure,5,13,Communication Failure from AHU,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DuctInTempValid,1,DuctInTempValid,5,14,Duct Inlet Temperature Validation for PxPages,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DisHtCl_WrmUp,1,DisHtCl_WrmUp,5,15,Disable Heat & Cool during Mrng Warm Up & Night Purge,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_HotWaterReheat,1,HotWaterReheat,5,18,Hot Water Reheat ,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DualMaximum,1,DualMaximum,5,19,Dual Maximum Control of Air Flow Setpoints,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_InitDamper,1,InitDamper,5,49,Initialize Internal Actuator,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DoZeroCalib,1,DoZeroCalib,5,50,Do Zero Calibration for Internal Flow Sensor,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_HVACModeCmd,1,HVACModeCmd,19,2,HVAC Mode Command,,,,Y,Y,,,6,,,
MainBlgVAVInternalAct_SensorTempUnits,1,SensorTempUnits,19,11,Communicating Sensor Temperature Units,,,,N,Y,,,7,,,
MainBlgVAVInternalAct_SensorFlowUnits,1,SensorFlowUnits,19,12,Communicating Sensor Flow Units,,,,N,Y,,,8,,,
MainBlgVAVInternalAct_HeatPriority,1,HeatPriority,19,13,Duct vs Perimeter Heat Priority,,,,N,Y,,,9,,,
MainBlgVAVInternalAct_HVACModeStatus,1,HVACModeStatus,19,14,HVAC Mode Status,,,,N,Y,,,6,,,
MainBlgVAVInternalAct_OccupancyStatus,1,OccupancyStatus,19,15,Occupancy Status,,,,N,Y,,,3,,,
MainBlgVAVInternalAct_ComSensorSpType,1,ComSensorSpType,19,16,Communicating Sensor Setpoint Type,,,,N,Y,,,10,,,
MainBlgVAVInternalAct_OccDetection,1,OccDetection,19,17,Occupancy Detection,,,,N,Y,,,11,,,
MainBlgVAVInternalAct_WindowContact,1,WindowContact,19,18,Window Contact,,,,N,Y,,,12,,,
MainBlgVAVInternalAct_ComSensorLock,1,ComSensorLock,19,19,Communicating Sensor Lock,,,,N,Y,,,13,,,
MainBlgVAVInternalAct_HeatStgs,1,HeatStgs,19,28,Number of Heat Stages,,,,N,Y,,,14,,,
MainBlgVAVInternalAct_DuctHeatStgs,1,DuctHeatStgs,19,29,Number of Duct Heaters,,,,N,Y,,,14,,,
MainBlgVAVInternalAct_EcoVueCoolStatus,1,EcoVueCoolStatus,19,30,EcoVue Actual Cooling Icon,,,,N,Y,,,15,,,
MainBlgVAVInternalAct_EcoVueHeatStatus,1,EcoVueHeatStatus,19,31,EcoVue Actual Heating Icon,,,,N,Y,,,15,,,
MainBlgVAVInternalAct_EquipType1,1,EquipType1,19,32,Equipement Type for Reheat1,,,,N,Y,,,16,,,
MainBlgVAVInternalAct_EquipType2,1,EquipType2,19,33,Equipement Type for Reheat2,,,,N,Y,,,16,,,
MainBlgVAVInternalAct_EquipType3,1,EquipType3,19,34,Equipement Type for Reheat3,,,,N,Y,,,16,,,
MainBlgVAVInternalAct_BalancingOvr,1,BalancingOvr,19,39,Balancing Override,,,,N,Y,,,17,,,
MainBlgVAVInternalAct_VPACCStatus,1,VPACCStatus,19,40,VPACC Status Reporting,,,,N,Y,,,18,,,
MainBlgVAVInternalAct_CodeType,1,CodeType,19,50,Code Type,,,,N,Y,,,19,,,
MainBlgVAVInternalAct_PID_Cool,1,PID_Cool,12,1,,,,,N,Y,,,,98,,
MainBlgVAVInternalAct_PID_Heat,1,PID_Heat,12,2,,,,,N,Y,,,,98,,
MainBlgVAVInternalAct_PID_CO2,1,PID_CO2,12,3,,,,,N,Y,,,,98,,
MainBlgVAVInternalAct_PID_DischAir,1,PID_DischAir,12,4,,,,,N,Y,,,,98,,
MainBlgVAVInternalAct_ComSensor1_SpaceTemp,1,ComSensor 1_SpaceTemp,0,5001,ComSensor 1 SpaceTemp,,,,N,Y,,,,64,,
MainBlgVAVInternalAct_Schedule1,1,Schedule 1,17,1,,,,,N,N,,,,,,
MainBlgVAVInternalAct_VAVDifferentialPressure,1,VAV Differential Pressure,0,5,,,,,N,Y,,,,58,,
MainBlgVAVInternalAct_InternalActuator_ActuatorSetpoint,1,Internal Actuator_ActuatorSetpoint,2,7,ActuatorSetpoint,,,,N,Y,,,,98,,
MainBlgVAVInternalAct_InternalActuator_ActuatorPosition,1,Internal Actuator_ActuatorPosition,1,6,ActuatorPosition,,,,Y,Y,,,,,,

MainBlgVAVInternalAct_AnalogValue3,1,Analog Value 3,2,3,,0.0,,,Y,Y,,,,95,,
